year,league,category,statistic,player,team,value
2015,AL,hitting,Base on,Balls Jose,Bautista Toronto,110
2015,AL,hitting,Batting,Average Miguel,Cabrera Detroit,.338
2015,AL,hitting,Doubles,Michael Brantley,Cleveland,45
2015,AL,hitting,Hits,Jose Altuve,Houston,200
2015,AL,hitting,Home,Runs Chris,Davis Baltimore,47
2015,AL,hitting,On,Base Percentage,Miguel Cabrera Detroit,.440
2015,AL,hitting,RBI,Josh Donaldson,Toronto,123
2015,AL,hitting,Runs,Josh Donaldson,Toronto,122
2015,AL,hitting,Slugging,Average Mike,Trout Los Angeles,.590
2015,AL,hitting,Stolen,Bases Jose,Altuve Houston,38
2015,AL,hitting,Total,Bases Josh,Donaldson Toronto,352
2015,AL,hitting,Triples,Eddie Rosario,Minnesota,15
2015,AL,pitching,Complete,Games Mark,Buehrle Toronto,4
2015,AL,pitching,ERA,David Price,Detroit,2.45
2015,AL,pitching,Games,Kevin Jepsen,Tampa Bay,75
2015,AL,pitching,Saves,Brad Boxberger,Tampa Bay,41
2015,AL,pitching,Shutouts,Sonny Gray,Oakland,2
2015,AL,pitching,Strikeouts,Chris Sale,Chicago,274
2015,AL,pitching,Winning,Percentage David,Price Detroit,.783
2015,AL,pitching,Wins,Dallas Keuchel,Houston,20
2015,NL,hitting,Base on,Balls Joey,Votto Cincinnati,143
2015,NL,hitting,Batting,Average Dee,Gordon Miami,.333
2015,NL,hitting,Doubles,Matt Carpenter,St. Louis,44
2015,NL,hitting,Hits,Dee Gordon,Miami,205
2015,NL,hitting,Home,Runs Nolan,Arenado Colorado,42
2015,NL,hitting,On,Base Percentage,Bryce Harper Washington,.460
2015,NL,hitting,RBI,Nolan Arenado,Colorado,130
2015,NL,hitting,Runs,Bryce Harper,Washington,118
2015,NL,hitting,Slugging,Average Bryce,Harper Washington,.649
2015,NL,hitting,Stolen,Bases Dee,Gordon Miami,58
2015,NL,hitting,Total,Bases Nolan,Arenado Colorado,354
2015,NL,hitting,Triples,David Peralta,Arizona,10
2015,NL,pitching,Complete,Games Jake,Arrieta Chicago,4
2015,NL,pitching,ERA,Zack Greinke,Los Angeles,1.66
2015,NL,pitching,Games,Kevin Siegrist,St. Louis,81
2015,NL,pitching,Saves,Mark Melancon,Pittsburgh,51
2015,NL,pitching,Shutouts,Jake Arrieta,Chicago,3
2015,NL,pitching,Strikeouts,Clayton Kershaw,Los Angeles,301
2015,NL,pitching,Winning,Percentage Zack,Greinke Los Angeles,.864
2015,NL,pitching,Wins,Jake Arrieta,Chicago,22
2016,AL,hitting,Base on,Balls Mike,Trout Los Angeles,116
2016,AL,hitting,Batting,Average Jose,Altuve Houston,.338
2016,AL,hitting,Doubles,David Ortiz,Boston,48
2016,AL,hitting,Hits,Jose Altuve,Houston,216
2016,AL,hitting,Home,Runs Mark,Trumbo Baltimore,47
2016,AL,hitting,On,Base Percentage,Mike Trout Los Angeles,.441
2016,AL,hitting,RBI,Edwin Encarnacion,Toronto,127
2016,AL,hitting,Runs,Mike Trout,Los Angeles,123
2016,AL,hitting,Slugging,Average David,Ortiz Boston,.620
2016,AL,hitting,Stolen,Bases Rajai,Davis Cleveland,43
2016,AL,hitting,Total,Bases Mookie,Betts Boston,359
2016,AL,hitting,Triples,Adam Eaton,Chicago,9
2016,AL,pitching,Complete,Games Chris,Sale Chicago,6
2016,AL,pitching,ERA,Aaron Sanchez,Toronto,3.00
2016,AL,pitching,Games,Bryan Shaw,Cleveland,75
2016,AL,pitching,Saves,Zach Britton,Baltimore,47
2016,AL,pitching,Shutouts,Corey Kluber,Cleveland,2
2016,AL,pitching,Strikeouts,Justin Verlander,Detroit,254
2016,AL,pitching,Winning,Percentage Aaron,Sanchez Toronto,.882
2016,AL,pitching,Wins,Rick Porcello,Boston,22
2016,NL,hitting,Base on,Balls Paul,Goldschmidt Arizona,110
2016,NL,hitting,Batting,Average DJ,LeMahieu Colorado,.348
2016,NL,hitting,Doubles,Daniel Murphy,Washington,47
2016,NL,hitting,Hits,Jean Segura,Arizona,203
2016,NL,hitting,Home,Runs Nolan,Arenado Colorado,41
2016,NL,hitting,On,Base Percentage,Joey Votto Cincinnati,.434
2016,NL,hitting,RBI,Nolan Arenado,Colorado,133
2016,NL,hitting,Runs,Kris Bryant,Chicago,121
2016,NL,hitting,Slugging,Average Daniel,Murphy Washington,.595
2016,NL,hitting,Stolen,Bases Jonathan,Villar Milwaukee,62
2016,NL,hitting,Total,Bases Nolan,Arenado Colorado,352
2016,NL,hitting,Triples,Brandon Crawford,San Francisco,11
2016,NL,pitching,Complete,Games Johnny,Cueto San Francisco,5
2016,NL,pitching,ERA,Kyle Hendricks,Chicago,2.13
2016,NL,pitching,Games,Brad Hand,San Diego,82
2016,NL,pitching,Saves,Jeurys Familia,New York,51
2016,NL,pitching,Shutouts,Clayton Kershaw,Los Angeles,3
2016,NL,pitching,Strikeouts,Max Scherzer,Washington,284
2016,NL,pitching,Winning,Percentage Jon,Lester Chicago,.792
2016,NL,pitching,Wins,Max Scherzer,Washington,20
2017,AL,hitting,Base on,Balls Aaron,Judge New York Yankees,127
2017,AL,hitting,Batting,Average Jose,Altuve Houston Astros,.346
2017,AL,hitting,Doubles,Jose Ramirez,Cleveland Indians,56
2017,AL,hitting,Hits,Jose Altuve,Houston Astros,204
2017,AL,hitting,Home,Runs Aaron,Judge New York Yankees,52
2017,AL,hitting,On,Base Percentage,Mike Trout Los Angeles Angels,.442
2017,AL,hitting,RBI,Nelson Cruz,Seattle Mariners,119
2017,AL,hitting,Runs,Aaron Judge,New York Yankees,128
2017,AL,hitting,Slugging,Average Mike,Trout Los Angeles Angels,.629
2017,AL,hitting,Stolen,Bases Whit,Merrifield Kansas City Royals,34
2017,AL,hitting,Total,Bases Jose,Abreu Chicago White Sox,343
2017,AL,hitting,Triples,Nick Castellanos,Detroit Tigers,10
2017,AL,pitching,Complete,Games Corey,Kluber Cleveland Indians,5
2017,AL,pitching,Ervin,Santana Minnesota,Twins,5
2017,AL,pitching,ERA,Corey Kluber,Cleveland Indians,2.25
2017,AL,pitching,Games,Bryan Shaw,Cleveland Indians,79
2017,AL,pitching,Saves,Alex Colome,Tampa Bay Rays,46
2017,AL,pitching,Shutouts,Corey Kluber,Cleveland Indians,3
2017,AL,pitching,Ervin,Santana Minnesota,Twins,3
2017,AL,pitching,Strikeouts,Chris Sale,Boston Red Sox,308
2017,AL,pitching,Winning,Percentage Corey,Kluber Cleveland Indians,.818
2017,AL,pitching,Wins,Carlos Carrasco,Cleveland Indians,18
2017,AL,pitching,Corey,Kluber Cleveland,Indians,18
2017,AL,pitching,Jason,Vargas Kansas,City Royals,18
2017,NL,hitting,Base on,Balls Joey,Votto Cincinnati Reds,134
2017,NL,hitting,Batting,Average Charlie,Blackmon Colorado Rockies,.331
2017,NL,hitting,Doubles,Nolan Arenado,Colorado Rockies,43
2017,NL,hitting,Daniel,Murphy Washington,Nationals,43
2017,NL,hitting,Hits,Charlie Blackmon,Colorado Rockies,213
2017,NL,hitting,Home,Runs Giancarlo,Stanton Miami Marlins,59
2017,NL,hitting,On,Base Percentage,Joey Votto Cincinnati Reds,.454
2017,NL,hitting,RBI,Giancarlo Stanton,Miami Marlins,132
2017,NL,hitting,Runs,Charlie Blackmon,Colorado Rockies,137
2017,NL,hitting,Slugging,Average Giancarlo,Stanton Miami Marlins,.631
2017,NL,hitting,Stolen,Bases Dee,Gordon Miami Marlins,60
2017,NL,hitting,Total,Bases Charlie,Blackmon Colorado Rockies,387
2017,NL,hitting,Triples,Charlie Blackmon,Colorado Rockies,14
2017,NL,pitching,Complete,Games Carlos,Martinez St. Louis Cardinals,2
2017,NL,pitching,Ivan,Nova Pittsburgh,Pirates,2
2017,NL,pitching,Clayton,Richard San,Diego Padres,2
2017,NL,pitching,Max,Scherzer Washington,Nationals,2
2017,NL,pitching,ERA,Clayton Kershaw,Los Angeles Dodgers,2.21
2017,NL,pitching,Games,Corey Knebel,Milwaukee Brewers,76
2017,NL,pitching,Saves,Greg Holland,Colorado Rockies,41
2017,NL,pitching,Kenley,Jansen Los,Angeles Dodgers,41
2017,NL,pitching,Shutouts,Carlos Martinez,St. Louis Cardinals,2
2017,NL,pitching,Strikeouts,Max Scherzer,Washington Nationals,268
2017,NL,pitching,Winning,Percentage Clayton,Kershaw Los Angeles Dodgers,.818
2017,NL,pitching,Wins,Clayton Kershaw,Los Angeles Dodgers,18
2018,AL,hitting,Base on,Balls Mike,Trout Los Angeles Angels,122
2018,AL,hitting,Batting,Average Mookie,Betts Boston Red Sox,.346
2018,AL,hitting,Doubles,Alex Bregman,Houston Astros,50
2018,AL,hitting,Hits,Whit Merrifield,Kansas City Royals,192
2018,AL,hitting,Home,Runs Khris,Davis Oakland Athletics,48
2018,AL,hitting,On,Base Percentage,Mike Trout Los Angeles Angels,.460
2018,AL,hitting,RBI,J.D. Martinez,Boston Red Sox,130
2018,AL,hitting,Runs,Mookie Betts,Boston Red Sox,129
2018,AL,hitting,Slugging,Average Mookie,Betts Boston Red Sox,.640
2018,AL,hitting,Stolen,Bases Whit,Merrifield Kansas City Royals,45
2018,AL,hitting,Total,Bases J.D.,Martinez Boston Red Sox,358
2018,AL,hitting,Triples,Yolmer Sanchez,Chicago White Sox,10
2018,AL,hitting,Mallex,Smith Tampa,Bay Rays,10
2018,AL,pitching,Complete,Games Jose,Berrios Minnesota Twins,2
2018,AL,pitching,Carlos,Carrasco Cleveland,Indians,2
2018,AL,pitching,Corey,Kluber Cleveland,Indians,2
